deck1,deck2,n,w
goblins,u/b delver,2,2
goblins,trinket control,2,2
goblins,sultai delver,2,0
goblins,storm,2,1
goblins,stifle naught,2,2
goblins,stasis,2,2
goblins,scepter chant,2,0
goblins,r/u/g control,2,1
goblins,rug control,2,0
goblins,rug cascade,2,0
goblins,quillspike druid,2,2
goblins,pyromancer ascension,2,1
goblins,omniscience combo,2,2
goblins,no hulk,2,0
goblins,no g/w,2,0
goblins,mono-blue control,2,1
goblins,mesmeric monolith,2,1
goblins,leyline of singularity,2,1
goblins,kavu fire,2,0
goblins,grixis control,2,2
glimpse combo,rug delver,2,0
glimpse combo,miracles,2,0
glimpse combo,lands,2,1
geddon stax,team america,2,1
geddon stax,no rug,2,0
geddon knight,zoo,2,1
geddon knight,goblins,2,0
g/b/w rock,zoo,2,1
g/b/r beatdown,lands,2,0
g/b pox,team america,2,1
g/b midrange,miracles,2,2
g/b midrange,lands,2,1
g/b infect,stoneblade,2,0
g/b control,merfolk,2,2
free glimpse,merfolk,2,0
freebie glimpse,zoo,2,1
freebie glimpse,survival,2,0
freebie glimpse,junk,2,1
four horsemen,goblins,2,2
four-color loam,shardless bug,2,0
forgemaster combo,stoneblade,2,0
forgemaster combo,maverick,2,0
forgemaster combo,junk,2,1
food chain,temur delver,2,0
food chain,sultai delver,2,2
food chain,reanimator,2,1
food chain,nic fit,2,2
food chain,high tide,2,0
faeries,white weenie,2,2
faeries,u/w control,2,2
faeries,stronghold gambit,2,2
faeries,stoneblade,2,2
faeries,show and tell,2,1
faeries,rug delver,2,0
faeries,painted stone,2,1
faeries,maverick,2,0
faeries,g/w aggro,2,0
faerie blade,merfolk,2,1
explorer rock,white weenie,2,1
explorer rock,u/r delver,2,0
eva green,u/w tempo,2,2
eva green,u/w stoneblade,2,0
eva green,u/w/r control,2,0
eva green,u/w aggro,2,0
eva green,rug,2,0
eva green,pox,2,1
eva green,no bant,2,1
eva green,metalworker,2,0
eva green,hypergenesis,2,2
eva green,helm of the void,2,1
eva green,g/w/b rock,2,0
eva green,g/w/b beatdown,2,1
eva green,grindstone's servant,2,2
eva gree,maverick,2,2
eureka,merfolk,2,0
esper visions,merfolk,2,1
esper tezzeret,rug delver,2,0
esper stoneblade,u/w/r miracles,2,2
esper stoneblade,u/r delver,2,1
esper stoneblade,storm,2,2
esper stoneblade,mono black control,2,2
esper stoneblade,junk,2,0
esper stoneblade,hive mind,2,1
esper,junk,2,2
esper control,zoo,2,2
esper control,threshold,2,0
esper control,no bant,2,2
esper control,miracles,2,1
esper control,metalworker,2,1
esper control,lands,2,1
esper control,junk,2,0
esper aggro,u/r delver,2,1
esper affinity,goblins,2,0
enchantress,wildfire,2,0
enchantress,vampires,2,1
enchantress,u/w tempo,2,2
enchantress,u/b control,2,1
enchantress,trinistax,2,1
enchantress,tezzeret metalcraft,2,1
enchantress,team italia,2,0
enchantress,stasis,2,2
enchantress,sea drake stompy,2,2
enchantress,rug visions,2,1
enchantress,no show,2,1
enchantress,no bug,2,2
enchantress,natural order,2,1
enchantress,mono white aggro,2,1
enchantress,manaless dredge,2,1
enchantress,infect,2,2
enchantress,helm of the void,2,0
elves,zombies,2,1
elves,u/w singleton,2,2
elves,u/w/r miracles,2,2
elves,u/w/r control,2,1
elves,u/g infect,2,1
elves,u/b control,2,1
elves,tezzeret metalcraft,2,2
elves,tezzeret affinity,2,1
elves,sea stompy,2,1
elves,rug landstill,2,0
elves,r/u/g aggro,2,0
elves,r/g aggro,2,2
elves,red deck wins,2,1
elves,rdw,2,1
elves,mono-blue control,2,0
elves,mono black aggro,2,1
elves,metal worker,2,1
elves,jund depths,2,1
elves,hulk combo,2,0
elves,helm of the void,2,0
elves,g/w stoneblade,2,2
elves,g/w/b rock,2,1
elves,grixis delver,2,1
elves,goat weenie,2,1
elves,glimpse combo,2,1
elves,four-color loam,2,0
elves,food chain,2,1
elf opposition,survival,2,0
eldrazi ramp,painted stone,2,2
eldrazi ramp,no bant,2,2
dredge,zombies,2,0
dredge,wizards,2,0
dredge,u/w/r delver,2,1
dredge,u/g madness,2,1
dredge,u/b/g control,2,2
dredge,turboland,2,1
dredge,tinfins,2,1
dredge,tezzeret affinity,2,0
dredge,tempered steel,2,2
dredge,team italia,2,1
dredge,sultai delver,2,0
dredge,stompy,2,2
dredge,stifle naught,2,1
dredge,stiflenaught,2,0
dredge,shardless bug,2,2
dredge,r/w aggro,2,2
dredge,rug control,2,1
dredge,omni-tell,2,2
dredge,not submitted,2,1
dredge,mono white aggro,2,0
dredge,mono green aggro,2,2
dredge,mono black midrange,2,1
dredge,mono black,2,2
dredge,leyline helm,2,0
dredge,jeskai stoneblade,2,2
dredge,jeskai delver,2,0
dredge,hulk,2,0
dredge,helm of the void,2,2
dredge,grixis faeries,2,1
dredge,g/b midrange,2,2
dredge,freebie glimpse,2,1
dredge,explorer rock,2,1
dredge,eva gree,2,1
dredge,esper control,2,2
dream halls,survival,2,0
dream halls,stax,2,2
dream halls,pox,2,0
dream halls,no bant,2,1
dream halls,hive mind,2,0
dream halls,eva green,2,2
dream halls,elves,2,2
dreadstill,merfolk,2,1
dreadstill,goblins,2,0
dragonstorm,threshold,2,0
dragon stompy,threshold,2,2
dragon stompy,tes,2,2
dragon stompy,stoneblade,2,0
dragon stompy,mono blue control,2,1
dragon stompy,metalworker,2,0
dragon stompy,grixis control,2,1
doran rock,merfolk,2,1
doomsday,u/b control,2,0
doomsday,nic fit,2,1
doomsday,junk,2,1
doomsday,g/w/b midrange,2,0
death's shadow,stoneblade,2,0
death's shadow,metalworker,2,1
death's shadow,merfolk,2,2
death's shadow,jund infestation,2,1
death's shadow,g/w/b midrange,2,0
death's shadow,goblins,2,1
death's shadow,enchantress,2,0
death's shadow,elves,2,2
death's shadow,dredge,2,0
deathblade,u/w/r miracles,2,1
deathblade,u/w miracles,2,0
deathblade,tinfins,2,2
deathblade,sultai delver,2,1
deathblade,shardless bug,2,0
deathblade,rug delver,2,0
deathblade,nic fit,2,2
deathblade,metalworker,2,1
deathblade,merfolk,2,1
deathblade,jund,2,0
death and taxes,u/w control,2,0
death and taxes,u/b delver,2,2
death and taxes,stifle naught,2,1
death and taxes,solidarity,2,1
death and taxes,shardless bug,2,1
death and taxes,pox,2,1
death and taxes,mono r sneak attack,2,0
death and taxes,metal worker,2,1
death and taxes,junk,2,1
death and taxes,hypergenesis,2,0
death and taxes,high tide,2,0
death and taxes,food chain,2,1
death &amp; taxes,u/w/r delver,2,1
dead vegetables,stoneblade,2,1
dead vegetables,rug delver,2,1
dead vegetables,dredge,2,2
deadguy ale,tes,2,1
deadguy ale,mono blue control,2,2
deadguy ale,lands,2,1
deadguy ale,dream halls,2,2
dark zoo,goblins,2,2
dark maverick,rug delver,2,2
cruel control,dredge,2,1
crab mill,zoo,2,0
crab mill,merfolk,2,0
crab mill,goblins,2,0
counter-top,u/w trinkets,2,0
counter-top,u/w/r landstill,2,1
counter-top,training grounds,2,2
counter-top,tezzeret control,2,1
counter-top,tezzeret,2,2
counter-top,sui black,2,2
counter-top,storm,2,0
counter-top,stiflenaught,2,0
counter-top,sneak attack,2,2
counter-top,scepter chant,2,1
counter-top,r/w/b aggro,2,0
counter-top,r/w aggro,2,1
counter-top,rug,2,1
counter-top,r/b aggro,2,2
counter-top,pox,2,1
countertop order,threshold,2,2
countertop order,merfolk,2,1
counter-top,not submitted,2,2
counter-top,no show,2,0
counter-top,mono white armageddon,2,1
counter-top,mono black aggro,2,2
counter-top,miracle grow,2,2
counter-top,manaless dredge,2,2
counter-top,life,2,0
counter-top,jedi emreka,2,1
counter-top,g/w/b allies,2,1
counter-top,g/w/b,2,1
counter-top,gifts control,2,2
counter-top,geddon knight,2,1
counter-top,forgemaster combo,2,0
counter-top,doran rock,2,2
counter-top,doomsday,2,2
countertop beatdown,eva green,2,1
countertop beatdown,dredge,2,1
counterburn,rug delver,2,0
counterburn,merfolk,2,2
cephalid breakfast,u/r delver,2,1
cephalid breakfast,sneak and show,2,0
cephalid breakfast,reanimator,2,2
cephalid breakfast,pox,2,1
cephalid breakfast,miracles,2,1
cephalid breakfast,landstill,2,2
cephalid breakfast,lands,2,1
cephalid breakfast,eva green,2,1
cephalid breakfast,dream halls,2,1
cephalid breakfast,deadguy ale,2,1
caw-blade,no bant,2,2
canadian threshold,stoneblade,2,0
canadian threshold,painted stone,2,2
canadian threshold,metalworker,2,0
b/w weenie,u/w/r control,2,1
b/w weenie,painted stone,2,0
b/w weenie,metalworker,2,1
b/w weenie,elves,2,1
b/w weenie,caw-blade,2,1
b/w weenie,bant,2,1
b/w tokens,u/r delver,2,0
b/w tokens,stoneblade,2,1
b/w tokens,sneak and show,2,0
b/w tokens,reanimator,2,1
b/w tokens,miracles,2,2
b/w tokens,dredge,2,1
b/w tokens,burn,2,1
b/w tempo,merfolk,2,1
b/w pox,stoneblade,2,1
b/w pox,maverick,2,0
b/w obliterator,metalworker,2,0
b/w control,threshold,2,0
b/w control,team america,2,1
b/w control,survival,2,0
b/w control,maverick,2,1
b/w control,landstill,2,1
b/w control,lands,2,0
b/w beatdown,merfolk,2,0
b/w aggro,u/w/r control,2,0
b/w aggro,u/w/r control,2,0
b/w aggro,u/w control,2,0
b/w aggro,u/w control,2,0
b/w aggro,tezzeret thopters,2,0
b/w aggro,tezzeret thopters,2,0
b/w aggro,tezzeret,2,0
b/w aggro,tezzeret,2,0
b/w aggro,stoneblade,2,1
b/w aggro,stoneblade,2,1
b/w aggro,stiflenought,2,2
b/w aggro,stiflenought,2,2
b/w aggro,stax,2,1
b/w aggro,stax,2,1
b/w aggro,nic fit,2,2
b/w aggro,nic fit,2,2
b/w aggro,mono black control,2,1
b/w aggro,mono black control,2,1
b/w aggro,metalworker,2,1
b/w aggro,metalworker,2,1
b/w aggro,maverick,2,0
b/w aggro,maverick,2,0
b/w aggro,infect,2,1
b/w aggro,infect,2,1
b/w aggro,g/w aggro,2,0
b/w aggro,g/w aggro,2,0
b/w aggro,b/w aggro,2,1
b/w aggro,bug,2,2
b/w aggro,bug,2,2
burn,walking dead,2,0
burn,u/w/r thopters,2,1
burn,u/w/r landstill,2,1
burn,ubr,2,1
burn,tooth and nail,2,1
burn,thopter foundry,2,1
burn,the walking dead,2,1
burn,tezzeret affinity,2,0
burn,tezzeret,2,0
burn,team italia,2,2
burn,sultai control,2,2
burn,stiflenaught,2,1
burn,soul sisters,2,0
burn,slivers,2,1
burn,ooze combo,2,2
burn,no show,2,0
burn,mud,2,0
burn,mono white stax,2,2
burn,mono black,2,1
burn,mishra grixis,2,2
burn,metalcraft,2,1
burn,manaless dredge,2,1
burn,life,2,1
burn,leyline of singularity,2,0
burn,junk depths,2,1
burn,jeskai stoneblade,2,0
burn,hulk combo,2,1
burn,helm of the void,2,1
burn,g/w/b rock,2,1
burn,g/w/b beatdown,2,2
burn,g/b pox,2,2
burn,freebie glimpse,2,0
buried ooze,rug delver,2,0
burg delver,tinfins,2,2
burg delver,maverick,2,1
bug visions,mono black control,2,2
bug visions,junk,2,1
bug visions,hypergenesis,2,1
bug visions,elves,2,2
bug visions,cephalid breakfast,2,0
bug visions,burn,2,1
bug,u/w stoneblade,2,1
bug,u/w landstill,2,2
bug,u/b tezzeret,2,2
bug,u/b control,2,1
bug,twelvepost,2,0
bug,stax,2,2
bug standstill,rug delver,2,1
bug standstill,dredge,2,1
bug,show and tell,2,1
bug psychatog,lands,2,0
bug,miracleblade,2,1
bug landstill,u/w/r thopters,2,2
bug landstill,u/w/r control,2,2
bug landstill,u/w control,2,1
bug landstill,stiflenought,2,1
bug landstill,mono black control,2,1
bug landstill,high tide,2,2
bug landstill,g/w aggro,2,1
bug landstill,enchantress,2,1
bug,infect,2,1
bug,hive mind,2,2
bug,grixis delver,2,1
bug faeries,zoo,2,1
bug faeries,merfolk,2,1
bug,esper control,2,2
bug delver,walking dead,2,1
bug delver,twelvepost,2,2
bug delver,shardless bug,2,0
bug delver,pox,2,2
bug delver,painter's grindstone,2,1
bug delver,no bant,2,2
bug delver,nic fit,2,2
bug delver,metalworker,2,2
bug delver,jund,2,1
bug delver,hypergenesis,2,1
bug delver,high tide,2,1
bug delver,esper stoneblade,2,1
bug,deathblade,2,1
bug,counter-top,2,1
b/u/g control,show and tell,2,1
b/u/g control,lands,2,1
bug control,elves,2,1
b/u/g control,elves,2,1
b/u/g control,dredge,2,0
bug,cephalid breakfast,2,2
bug,bug delver,2,0
b/r control,stoneblade,2,0
b/r control,merfolk,2,2
brain flames,u/b control,2,0
b/r aggro,painted stone,2,1
b/r aggro,junk,2,0
b/r aggro,elves,2,2
b/r aggro,bug landstill,2,2
boros,team america,2,1
boros,stoneblade,2,0
boros,show and tell,2,0
boros,painted stone,2,1
boros,merfolk,2,2
boros,burn,2,0
bomberman,reanimator,2,2
bomberman,maverick,2,1
bomberman,goblins,2,0
blue zoo,zoo,2,2
blue zoo,merfolk,2,2
blue zoo,manaless dredge,2,2
blue zoo,dredge,2,2
blue zoo,bug visions,2,2
blouses,maverick,2,1
blouses,hive mind,2,2
blouses,dredge,2,1
blazing shoal,zoo,2,1
blazing shoal,no rug,2,0
black rats,zoo,2,0
black rack,zoo,2,1
black rack,show and tell,2,1
black rack,mono blue control,2,2
black rack,dredge,2,0
big red,show and tell,2,1
big red,counter-top,2,0
b/g stompy,elves,2,1
b/g smallpox,show and tell,2,0
b/g rock,stiflenaught,2,1
b/g rock,goblins,2,1
b/g rock,belcher,2,1
b/g/r beatdown,eva green,2,1
b/g pox,u/w stoneblade,2,1
b/g pox,no rug,2,1
b/g poison,rug delver,2,0
b/g poison,goblins,2,2
b/g land destruction,reanimator,2,0
b/g land destruction,goblins,2,0
b/g land destruction,elves,2,1
b/g infect,goblins,2,2
b/g infect,burn,2,1
b/g control,u/w stoneblade,2,0
b/g control,rug delver,2,1
b/g control,merfolk,2,1
b/g control,hive mind,2,2
berserk fling,counter-top,2,0
belcher,wizards,2,0
belcher,u/w/r miracles,2,0
belcher,u/w/r landstill,2,1
belcher,ub delver,2,1
belcher,tezzeret stax,2,1
belcher,team italia,2,0
belcher,stiflenought,2,0
belcher,stasis,2,1
belcher,sneak attack,2,1
belcher,rogues,2,1
belcher,proteus staff,2,0
belcher,no show,2,1
belcher,metalcraft,2,2
belcher,g/w/b midrange,2,1
belcher,grindstone's servant,2,2
belcher,caw-blade,2,0
belcher,bug landstill,2,0
battle of wits,team america,2,2
battle of wits,miracles,2,1
battle of wits,metalworker,2,1
battle of wits,hive mind,2,0
bant,u/w tempo,2,0
bant,u/g madness,2,2
bant,u/b faeries,2,0
bant,the walking dead,2,2
bant,storm,2,2
bant,rug visions,2,1
bant,omnitell,2,1
bant,nic fit,2,1
bant,junk depths,2,1
bant,jund,2,2
bant,hulk combo,2,0
bant,g/w stoneblade,2,1
bant,grixis delver,2,1
bant,g/b pox,2,1
bant fauna,team america,2,0
bant fauna,merfolk,2,1
bant,faeries,2,0
bant,esper stoneblade,2,2
bant,dream halls,2,0
bant delver,merfolk,2,1
bant delver,maverick,2,0
bant control,reanimator,2,2
bant control,goblins,2,0
bant aggro,slivers,2,2
bant aggro,high tide,2,1
bant aggro,enchantress,2,1
bant aggro,dredge,2,0
bant aggro,burn,2,1
bant aggro,belcher,2,0
athens blue,u/w control,2,0
athens blue,metalworker,2,1
athens blue,dredge,2,1
assault loam,stax,2,2
assault loam,landstill,2,1
assault loam,enchantress,2,2
assault loam,burn,2,0
assault loam,belcher,2,1
ascension twin,stoneblade,2,0
armageddon white,merfolk,2,1
armageddon stax,mono white beatdown,2,2
armageddon stax,lands,2,0
armageddon stax,elves,2,1
armageddon stax,elspeth control,2,0
armageddon stax,countertop beatdown,2,2
ant,u/w/r landstill,2,1
ant,u/w/r control,2,0
ant,u/b tezzeret,2,1
ant,u/b/g control,2,0
ant,u/b control,2,0
ant,the walking dead,2,0
ant,tezzeret affinity,2,2
ant,sneak attack,2,1
ant,scepter chant,2,2
ant,rug aggro,2,0
ant,red deck wins,2,2
ant,no show,2,1
ant,no hulk,2,1
ant,list missing,2,2
ant,junk depths,2,1
ant,iggy pop,2,2
ant,hexmage depths,2,1
ant,helm of the void,2,2
ant,grixis delver,2,1
ant,g/b/w rock,2,1
ant,doran rock,2,2
ant,doomsday,2,2
ant,dead vegetables,2,1
ant,bug control,2,1
ant,black weenie,2,2
ant,b/g/r beatdown,2,0
ant,berserk infect,2,2
angels,burn,2,1
angel prison,grixis control,2,1
aluren,u/w stoneblade,2,1
aluren,u/w control,2,1
aluren,no bant,2,1
aluren,miracleblade,2,2
aluren,eva green,2,0
aluren,enchantress,2,2
all spells,rug delver,2,1
all in red,merfolk,2,1
allies,zoo,2,0
allies,junk,2,2
allies,goblins,2,1
allies,burn,2,1
aggro loam,stiflenaught,2,2
aggro loam,slivers,2,2
aggro loam,scepter chant,2,2
aggro loam,pox,2,2
aggro loam,mud,2,2
aggro loam,mono blue control,2,2
aggro loam,mono black,2,1
aggro loam,miracleblade,2,1
aggro loam,landstill,2,2
aggro loam,jedi emreka,2,1
aggro loam,infect,2,1
aggro loam,helm of the void,2,0
aggro loam,g/w/b midrange,2,1
aggro loam,dreadstill,2,2
aggro loam,doran bant,2,1
aggro loam,b/g rock,2,1
affinity,u/w/r thopters,2,1
affinity,ur control,2,0
affinity,u/g madness,2,1
affinity,thopter blade,2,0
affinity,tezzeret metalcraft,2,0
affinity,tempered steel,2,2
affinity,stifle naught,2,1
affinity,stasis,2,1
affinity,r/g aggro,2,2
affinity,no green,2,2
affinity,mono-white control,2,2
affinity,mono green aggro,2,2
affinity,mono blue ninjas,2,1
affinity,mono-blue control,2,2
affinity,hulk combo,2,0
affinity,hexmage depths,2,0
affinity,g/w scepter chant,2,2
affinity,g/b pox,2,1
affinity,food chain,2,1
affinity,b/w tokens,2,1
affinity,bug midrange,2,1
affinity,bug delver,2,1
affinity,aluren,2,0
ad nauseam tendrils,reanimator,2,0
ad nauseam tendrils,merfolk,2,0
ad nauseam tendrils,bug delver,2,2
ad nauseam tendrils,belcher,2,1
ad nauseam,sneak and show,2,1
ad nauseam,elves,2,2
ad nauseam,bug delver,2,1
abzan maverick,u/r delver,2,2
abzan maverick,death and taxes,2,0
abzan,death and taxes,2,2
8 post,u/r delver,2,2
8 post eldrazi,survival,2,1
5 color control,merfolk,2,2
4 color stoneblade,merfolk,2,2
4 color stoneblade,junk,2,1
4 color loam,team america,2,1
4 color loam,rug delver,2,2
4 color loam,maverick,2,0
4 color loam,enchantress,2,1
4 color loam,elves,2,2
4 color loam,dredge,2,2
4 color loam,burn,2,2
4 color loam,bug landstill,2,2
4 color loam,aggro loam,2,1
4 color landstill,stoneblade,2,0
4 color landstill,reanimator,2,1
4 color landstill,no bant,2,0
4 color landstill,junk,2,2
4 color landstill,g/w aggro,2,1
4 color gsz,burn,2,0
4 color gifts,stoneblade,2,1
4 color control,team america,2,0
4 color control,painted stone,2,0
4 color control,no bant,2,0
4 color control,landstill,2,0
4 color control,junk,2,0
12 post,sneak and show,2,1
zombardment,all spells,1,0
wizards,zoo,1,0
wildfire,zoo,1,0
vampires,zoo,1,0
u/w thopters,u/w/r thopters,1,0
u/w thopters,u/w/r landstill,1,0
u/w tempo,white weenie,1,0
u/w stoneblade,vampires,1,1
u/w stoneblade,u/w visions,1,0
u/w stoneblade,u/w tempo,1,1
u/w stoneblade,u/w/r visions,1,1
u/w stoneblade,u/w/r stoneblade,1,0
u/w stoneblade,u/w/r miracles,1,1
u/w singleton,zoo,1,0
u/w/r visions,zoo,1,1
u/w/r thopters,zoo,1,1
u/w/r delver,u/w/r miracles,1,0
u/w/r delver,u/w/r landstill,1,1
u/w miracles,u/w stoneblade,1,0
u/w miracles,u/w/r stoneblade,1,0
u/w miracles,u/w/r delver,1,1
u/w landstill,u/w/r thopters,1,1
u/w control,u/w stoneblade,1,0
u/w blade,zoo,1,1
u/r stiflenought,zoo,1,1
u/r delver,walking dead,1,0
u/r delver,vampires,1,1
u/r delver,u/w midrange,1,1
u/r delver,u/w counterbalance,1,1
u/r delver,u/w aggro,1,1
u/r delver,u/r stiflenaught,1,0
u/r control,u/w stoneblade,1,0
u/r control,u/w/r control,1,1
u/r aggro,zoo,1,1
<unknown>,slivers,1,0
<unknown>,sea stompy,1,0
<unknown>,omnitell,1,0
<unknown>,miracles,1,0
<unknown>,glimpse combo,1,1
<unknown>,elves,1,0
<unknown>,deadguy ale,1,0
<unknown>,aggro loam,1,1
u/g poison,zoo,1,0
u/g ninja,zoo,1,1
u/g madness,wizards,1,0
u/g madness,u/w stoneblade,1,1
u/g cloudpost,u/r delver,1,0
u/b visions,zoo,1,0
u/b visions,u/w stoneblade,1,1
u/b underworld dreams,zoo,1,0
u/b underworld dreams,u/w stoneblade,1,0
u/b tezzeret,u/w standstill,1,1
u/b tezzeret,u/w/r miracles,1,0
ubr,zoo,1,0
u/b landstill,zoo,1,0
u/b landstill,u/r delver,1,0
u/b/g control,white weenie,1,1
u/b faeries,zoo,1,0
u/b faeries,u/r landstill,1,0
u/b faeries,u/r delver,1,0
u/b death's shadow,u/w stoneblade,1,0
u/b control,white weenie,1,0
u/b control,u/w stoneblade,1,0
u/b control,u/w/r control,1,1
twelvepost,white knights,1,1
twelvepost,uwrb pyromancer,1,1
twelvepost,u/w control,1,0
twelvepost,u/r welder,1,1
turboland,zoo,1,0
trading stax,u/r delver,1,0
torpornought,white knights,1,1
tinfins,vampires,1,1
tinfins,u/w stoneblade,1,0
tin fins,u/w/r delver,1,1
threshold,white weenie,1,0
threshold,u/w control,1,1
thopters,zoo,1,0
thopter sword,u/r delver,1,0
thopter sword,twelvepost,1,0
thopters,u/w/r control,1,0
thopter foundry,u/r delver,1,1
thopter blade,zoo,1,1
thopter blade,u/w/r control,1,0
the walking dead,zoo,1,0
the walking dead,u/w/r aggro,1,0
the walking dead,twelvepost,1,0
tezzeret,zoo,1,0
tezzeret thopters,u/w/r control,1,0
tezzeret thopters,u/w landstill,1,1
tezzeret thopters,thopters,1,0
tezzeret plating,u/w stoneblade,1,1
tezzeret metalcraft,u/r delver,1,0
tezzeret control,u/r delver,1,0
tezzeret control,u/g vengevine,1,0
tes,zombies,1,0
tes,white weenie,1,1
tes,u/g infect,1,0
tes,u/b tempo,1,0
tes,u/b mill,1,0
tes,u/b delver,1,1
terravore,zoo,1,0
terrageddon,zoo,1,1
terrageddon,white weenie,1,0
temur delver,u/w stoneblade,1,0
temur delver,u/r stiflenaught,1,1
temur delver,twelvepost,1,1
tempered steel,zoo,1,0
team italia,thrumming rats,1,1
team america,zombies,1,0
team america,white stax,1,1
team america,white puresteel,1,1
team america,walls,1,1
team america,u/w blade,1,0
