Card Statistics over 676 Decks (2025 Asia Legacy Championship (2025-12-12))
+----------------------------------------------------------+-------+--------+-------------+-------------+--------------+--------+--------------+---------+------------+-----------+
|                           Card                           | # of  |  % of  | # of Copies | # of Copies | Record With  | Win %  |    Record    |  Win %  | Record vs. | Win % vs. |
|                                                          | Decks | Decks  |   (Main)    |   (Side)    |              |  With  |   Without    | Without |  Without   |  Without  |
+----------------------------------------------------------+-------+--------+-------------+-------------+--------------+--------+--------------+---------+------------+-----------+
| Summon: Yojimbo                                          |     1 |  0.15% |           2 |           0 |        4-5-0 | 44.44% | 2812-2811-90 |  50.01% |      4-5-0 |    44.44% |
| Summoning Trap                                           |     1 |  0.15% |           0 |           1 |        5-4-0 | 55.56% | 2811-2812-90 |  49.99% |      5-4-0 |    55.56% |
| Sunken Hollow                                            |     1 |  0.15% |           1 |           0 |        0-5-0 |  0.00% | 2816-2811-90 |  50.04% |      0-5-0 |     0.00% |
| Suplex                                                   |     1 |  0.15% |           0 |           1 |        4-5-0 | 44.44% | 2812-2811-90 |  50.01% |      4-5-0 |    44.44% |
| Surge Engine                                             |     1 |  0.15% |           4 |           0 |        1-6-2 | 22.22% | 2815-2810-88 |  50.04% |      1-6-2 |    22.22% |
| Surge Node                                               |     1 |  0.15% |           0 |           2 |        2-3-0 | 40.00% | 2814-2813-90 |  50.01% |      2-3-0 |    40.00% |
| Surge of Salvation                                       |     1 |  0.15% |           0 |           1 |        5-4-0 | 55.56% | 2811-2812-90 |  49.99% |      5-4-0 |    55.56% |
| Svyelun of Sea and Sky                                   |     1 |  0.15% |           1 |           0 |        1-5-0 | 16.67% | 2815-2811-90 |  50.03% |      1-5-0 |    16.67% |
| Swift Reconfiguration                                    |     1 |  0.15% |           4 |           0 |        4-4-1 | 50.00% | 2812-2812-89 |  50.00% |      4-4-1 |    50.00% |
| Sythis, Harvest's Hand                                   |     1 |  0.15% |           3 |           0 |        3-4-0 | 42.86% | 2813-2812-90 |  50.01% |      3-4-0 |    42.86% |
| Talisman of Indulgence                                   |     1 |  0.15% |           1 |           0 |        2-4-0 | 33.33% | 2814-2812-90 |  50.02% |      2-4-0 |    33.33% |
| Tangle Wire                                              |     1 |  0.15% |           1 |           3 |        1-6-0 | 14.29% | 2815-2810-90 |  50.04% |      1-6-0 |    14.29% |
| Tanglepool Bridge                                        |     1 |  0.15% |           1 |           0 |        5-4-0 | 55.56% | 2811-2812-90 |  49.99% |      5-4-0 |    55.56% |
| Tear Asunder                                             |     1 |  0.15% |           0 |           1 |        5-3-1 | 61.11% | 2811-2813-89 |  49.98% |      5-3-1 |    61.11% |
| Temporary Lockdown                                       |     1 |  0.15% |           0 |           1 |        4-3-0 | 57.14% | 2812-2813-90 |  49.99% |      4-3-0 |    57.14% |
| Tezzeret, Agent of Bolas                                 |     1 |  0.15% |           1 |           0 |       10-4-0 | 71.43% | 2806-2812-90 |  49.95% |     10-4-0 |    71.43% |
| The Biblioplex                                           |     1 |  0.15% |           1 |           0 |        0-5-0 |  0.00% | 2816-2811-90 |  50.04% |      0-5-0 |     0.00% |
| The Everflowing Well // The Myriad Pools                 |     1 |  0.15% |           1 |           0 |        5-4-0 | 55.56% | 2811-2812-90 |  49.99% |      5-4-0 |    55.56% |
| The Underworld Cookbook                                  |     1 |  0.15% |           1 |           0 |        6-5-0 | 54.55% | 2810-2811-90 |  49.99% |      6-5-0 |    54.55% |
| The Wandering Minstrel                                   |     1 |  0.15% |           4 |           0 |        0-5-0 |  0.00% | 2816-2811-90 |  50.04% |      0-5-0 |     0.00% |
| The Warring Triad                                        |     1 |  0.15% |           1 |           0 |        4-5-0 | 44.44% | 2812-2811-90 |  50.01% |      4-5-0 |    44.44% |
| Thirst for Knowledge                                     |     1 |  0.15% |           3 |           0 |        3-6-0 | 33.33% | 2813-2810-90 |  50.03% |      3-6-0 |    33.33% |
| This Town Ain't Big Enough                               |     1 |  0.15% |           1 |           0 |        5-4-0 | 55.56% | 2811-2812-90 |  49.99% |      5-4-0 |    55.56% |
| Thought Lash                                             |     1 |  0.15% |           4 |           0 |        7-4-0 | 63.64% | 2809-2812-90 |  49.97% |      7-4-0 |    63.64% |
| Thran Foundry                                            |     1 |  0.15% |           0 |           1 |        4-5-0 | 44.44% | 2812-2811-90 |  50.01% |      4-5-0 |    44.44% |
| Three Steps Ahead                                        |     1 |  0.15% |           1 |           0 |        3-6-0 | 33.33% | 2813-2810-90 |  50.03% |      3-6-0 |    33.33% |
| Throes of Chaos                                          |     1 |  0.15% |           4 |           0 |        1-4-0 | 20.00% | 2815-2812-90 |  50.03% |      1-4-0 |    20.00% |
| Tibalt's Trickery                                        |     1 |  0.15% |           3 |           1 |        1-4-0 | 20.00% | 2815-2812-90 |  50.03% |      1-4-0 |    20.00% |
| Timeless Witness                                         |     1 |  0.15% |           0 |           3 |        0-5-0 |  0.00% | 2816-2811-90 |  50.04% |      0-5-0 |     0.00% |
| Titania, Voice of Gaea                                   |     1 |  0.15% |           1 |           0 |        2-4-0 | 33.33% | 2814-2812-90 |  50.02% |      2-4-0 |    33.33% |
| Trade Routes                                             |     1 |  0.15% |           3 |           0 |        0-5-0 |  0.00% | 2816-2811-90 |  50.04% |      0-5-0 |     0.00% |
| Transforming Flourish                                    |     1 |  0.15% |           4 |           0 |        1-4-0 | 20.00% | 2815-2812-90 |  50.03% |      1-4-0 |    20.00% |
| Transmute Artifact                                       |     1 |  0.15% |           4 |           0 |        9-5-0 | 64.29% | 2807-2811-90 |  49.96% |      9-5-0 |    64.29% |
| Treasure Hunt                                            |     1 |  0.15% |           4 |           0 |        0-5-0 |  0.00% | 2816-2811-90 |  50.04% |      0-5-0 |     0.00% |
| Tree of Tales                                            |     1 |  0.15% |           4 |           0 |        1-4-0 | 20.00% | 2815-2812-90 |  50.03% |      1-4-0 |    20.00% |
| Triangle of War                                          |     1 |  0.15% |           0 |           1 |        3-3-1 | 50.00% | 2813-2813-89 |  50.00% |      3-3-1 |    50.00% |
| Trumpeting Carnosaur                                     |     1 |  0.15% |           1 |           3 |        1-4-0 | 20.00% | 2815-2812-90 |  50.03% |      1-4-0 |    20.00% |
| Ugin, the Ineffable                                      |     1 |  0.15% |           2 |           0 |        0-3-0 |  0.00% | 2816-2813-90 |  50.03% |      0-3-0 |     0.00% |
| Ugin, the Spirit Dragon                                  |     1 |  0.15% |           3 |           0 |        3-5-0 | 37.50% | 2813-2811-90 |  50.02% |      3-5-0 |    37.50% |
| Ulamog, the Infinite Gyre                                |     1 |  0.15% |           1 |           0 |        0-3-0 |  0.00% | 2816-2813-90 |  50.03% |      0-3-0 |     0.00% |
| Undead Butler                                            |     1 |  0.15% |           4 |           0 |        1-3-0 | 25.00% | 2815-2813-90 |  50.02% |      1-3-0 |    25.00% |
| Undermountain Adventurer                                 |     1 |  0.15% |           4 |           0 |        5-4-0 | 55.56% | 2811-2812-90 |  49.99% |      5-4-0 |    55.56% |
| Unstoppable Slasher                                      |     1 |  0.15% |           0 |           3 |        4-4-0 | 50.00% | 2812-2812-90 |  50.00% |      4-4-0 |    50.00% |
| Utopia Sprawl                                            |     1 |  0.15% |           4 |           0 |        3-4-0 | 42.86% | 2813-2812-90 |  50.01% |      3-4-0 |    42.86% |
| Vampire Hexmage                                          |     1 |  0.15% |           2 |           0 |        4-5-0 | 44.44% | 2812-2811-90 |  50.01% |      4-5-0 |    44.44% |
| Vandalblast                                              |     1 |  0.15% |           0 |           1 |        1-6-0 | 14.29% | 2815-2810-90 |  50.04% |      1-6-0 |    14.29% |
| Vendilion Clique                                         |     1 |  0.15% |           0 |           1 |        3-6-0 | 33.33% | 2813-2810-90 |  50.03% |      3-6-0 |    33.33% |
| Venerated Rotpriest                                      |     1 |  0.15% |           0 |           3 |        6-5-0 | 54.55% | 2810-2811-90 |  49.99% |      6-5-0 |    54.55% |
| Vengevine                                                |     1 |  0.15% |           4 |           0 |        1-3-0 | 25.00% | 2815-2813-90 |  50.02% |      1-3-0 |    25.00% |
| Vesuva                                                   |     1 |  0.15% |           3 |           0 |        0-3-0 |  0.00% | 2816-2813-90 |  50.03% |      0-3-0 |     0.00% |
| Vesuvan Drifter                                          |     1 |  0.15% |           0 |           2 |        5-4-0 | 55.56% | 2811-2812-90 |  49.99% |      5-4-0 |    55.56% |
| Veteran Explorer                                         |     1 |  0.15% |           3 |           0 |        6-5-0 | 54.55% | 2810-2811-90 |  49.99% |      6-5-0 |    54.55% |
| Violent Outburst                                         |     1 |  0.15% |           0 |           4 |        1-4-0 | 20.00% | 2815-2812-90 |  50.03% |      1-4-0 |    20.00% |
| Volrath's Stronghold                                     |     1 |  0.15% |           1 |           0 |        5-4-0 | 55.56% | 2811-2812-90 |  49.99% |      5-4-0 |    55.56% |
| Walk-In Closet // Forgotten Cellar                       |     1 |  0.15% |           1 |           0 |        2-2-0 | 50.00% | 2814-2814-90 |  50.00% |      2-2-0 |    50.00% |
| Waterlogged Grove                                        |     1 |  0.15% |           2 |           0 |        0-5-0 |  0.00% | 2816-2811-90 |  50.04% |      0-5-0 |     0.00% |
| Watery Grave                                             |     1 |  0.15% |           3 |           0 |        3-6-0 | 33.33% | 2813-2810-90 |  50.03% |      3-6-0 |    33.33% |
| Wedding Announcement // Wedding Festivity                |     1 |  0.15% |           0 |           1 |        5-4-0 | 55.56% | 2811-2812-90 |  49.99% |      5-4-0 |    55.56% |
| Whirlwind Denial                                         |     1 |  0.15% |           0 |           3 |        0-5-0 |  0.00% | 2816-2811-90 |  50.04% |      0-5-0 |     0.00% |
| Wild Growth                                              |     1 |  0.15% |           4 |           0 |        3-4-0 | 42.86% | 2813-2812-90 |  50.01% |      3-4-0 |    42.86% |
| Wilt                                                     |     1 |  0.15% |           0 |           1 |        3-4-0 | 42.86% | 2813-2812-90 |  50.01% |      3-4-0 |    42.86% |
| Winota, Joiner of Forces                                 |     1 |  0.15% |           2 |           0 |        8-5-0 | 61.54% | 2808-2811-90 |  49.97% |      8-5-0 |    61.54% |
| Wipe Away                                                |     1 |  0.15% |           0 |           1 |        5-4-0 | 55.56% | 2811-2812-90 |  49.99% |      5-4-0 |    55.56% |
| Withering Torment                                        |     1 |  0.15% |           0 |           3 |        4-5-0 | 44.44% | 2812-2811-90 |  50.01% |      4-5-0 |    44.44% |
| Worldgorger Dragon                                       |     1 |  0.15% |           1 |           0 |        5-4-0 | 55.56% | 2811-2812-90 |  49.99% |      5-4-0 |    55.56% |
| Worldly Tutor                                            |     1 |  0.15% |           3 |           0 |        3-2-2 | 57.14% | 2813-2814-88 |  49.99% |      3-2-2 |    57.14% |
| Worldspine Wurm                                          |     1 |  0.15% |           1 |           0 |        2-6-0 | 25.00% | 2814-2810-90 |  50.04% |      2-6-0 |    25.00% |
| Wurmcoil Engine                                          |     1 |  0.15% |           4 |           0 |        1-6-0 | 14.29% | 2815-2810-90 |  50.04% |      1-6-0 |    14.29% |
| Yixlid Jailer                                            |     1 |  0.15% |           0 |           1 |        2-4-0 | 33.33% | 2814-2812-90 |  50.02% |      2-4-0 |    33.33% |
| Zagoth Triome                                            |     1 |  0.15% |           1 |           0 |        0-5-0 |  0.00% | 2816-2811-90 |  50.04% |      0-5-0 |     0.00% |
| Éowyn, Fearless Knight                                   |     1 |  0.15% |           1 |           0 |        0-3-0 |  0.00% | 2816-2813-90 |  50.03% |      0-3-0 |     0.00% |
