Card Statistics over 944 Decks (2025 North America Legacy Championship (2025-10-12))
+--------------------------------------------------------------+-------+--------+---------------+--------+-------------+-------------+------------+-----------+--------------+--------------+------------------+-----------------+
|                             Card                             | # of  |  % of  |  Record With  | Win %  | # of Copies | # of Copies |   Record   | Win % vs. |  Record vs.  |  Win % vs.   | Record vs. Nadu, | Win % vs. Nadu, |
|                                                              | Decks | Decks  |               |  With  |   (Main)    |   (Side)    | vs. Entomb |  Entomb   | Mystic Forge | Mystic Forge |  Winged Wisdom   |  Winged Wisdom  |
+--------------------------------------------------------------+-------+--------+---------------+--------+-------------+-------------+------------+-----------+--------------+--------------+------------------+-----------------+
| Astrologian's Planisphere                                    |     1 |  0.11% |         1-4-0 | 20.00% |           1 |           0 |      0-1-0 |     0.00% |        0-1-0 |        0.00% |            0-0-0 |             --- |
| Anger                                                        |     1 |  0.11% |         1-4-0 | 20.00% |           1 |           0 |      0-1-0 |     0.00% |        0-1-0 |        0.00% |            0-0-0 |             --- |
| Mana Tithe                                                   |     1 |  0.11% |         1-4-0 | 20.00% |           0 |           2 |      1-0-0 |   100.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |
| End the Festivities                                          |     1 |  0.11% |         1-4-0 | 20.00% |           0 |           1 |      0-0-0 |       --- |        0-0-0 |          --- |            0-0-0 |             --- |
| Everybody Lives!                                             |     1 |  0.11% |         1-4-0 | 20.00% |           0 |           1 |      0-0-0 |       --- |        0-1-0 |        0.00% |            0-1-0 |           0.00% |
| Timeless Dragon                                              |     1 |  0.11% |         1-3-1 | 30.00% |           3 |           0 |      0-1-0 |     0.00% |        0-0-0 |          --- |            0-0-0 |             --- |
| Ketramose, the New Dawn                                      |     1 |  0.11% |         1-3-0 | 25.00% |           3 |           0 |      1-1-0 |    50.00% |        0-0-0 |          --- |            0-0-0 |             --- |
| Mogg War Marshal                                             |     1 |  0.11% |         1-3-0 | 25.00% |           3 |           0 |      0-3-0 |     0.00% |        0-0-0 |          --- |            0-0-0 |             --- |
| Goblin Warchief                                              |     1 |  0.11% |         1-3-0 | 25.00% |           1 |           0 |      0-3-0 |     0.00% |        0-0-0 |          --- |            0-0-0 |             --- |
| Silk, Web Weaver                                             |     1 |  0.11% |         1-3-0 | 25.00% |           1 |           0 |      1-1-0 |    50.00% |        0-0-0 |          --- |            0-0-0 |             --- |
| Goblin Piledriver                                            |     1 |  0.11% |         1-3-0 | 25.00% |           1 |           0 |      0-3-0 |     0.00% |        0-0-0 |          --- |            0-0-0 |             --- |
| Grenzo, Havoc Raiser                                         |     1 |  0.11% |         1-3-0 | 25.00% |           1 |           0 |      0-3-0 |     0.00% |        0-0-0 |          --- |            0-0-0 |             --- |
| Rotting Regisaur                                             |     1 |  0.11% |         1-3-0 | 25.00% |           0 |           4 |      0-0-0 |       --- |        0-1-0 |        0.00% |            0-1-0 |           0.00% |
| Unstoppable Slasher                                          |     1 |  0.11% |         1-3-0 | 25.00% |           0 |           4 |      0-0-0 |       --- |        0-1-0 |        0.00% |            0-1-0 |           0.00% |
| Crash                                                        |     1 |  0.11% |         1-3-0 | 25.00% |           0 |           2 |      0-1-0 |     0.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Toxicrene                                                    |     1 |  0.11% |         1-3-0 | 25.00% |           0 |           1 |      1-1-0 |    50.00% |        0-0-0 |          --- |            0-0-0 |             --- |
| Seeds of Innocence                                           |     1 |  0.11% |         1-3-0 | 25.00% |           0 |           1 |      1-0-0 |   100.00% |        0-1-0 |        0.00% |            0-1-0 |           0.00% |
| Krosan Grip                                                  |     1 |  0.11% |         1-3-0 | 25.00% |           0 |           1 |      1-1-0 |    50.00% |        0-0-0 |          --- |            0-0-0 |             --- |
| Accumulated Knowledge                                        |     1 |  0.11% |         1-2-1 | 37.50% |           4 |           0 |      0-0-0 |       --- |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Terminus                                                     |     1 |  0.11% |         1-2-1 | 37.50% |           3 |           1 |      0-0-0 |       --- |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Entreat the Angels                                           |     1 |  0.11% |         1-2-1 | 37.50% |           1 |           0 |      0-0-0 |       --- |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Disenchant                                                   |     1 |  0.11% |         1-2-1 | 37.50% |           0 |           1 |      0-0-0 |       --- |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Mana Clash                                                   |     1 |  0.11% |         1-2-0 | 33.33% |           4 |           0 |      0-0-0 |       --- |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Krark's Thumb                                                |     1 |  0.11% |         1-2-0 | 33.33% |           3 |           0 |      0-0-0 |       --- |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Fiery Gambit                                                 |     1 |  0.11% |         1-2-0 | 33.33% |           2 |           0 |      0-0-0 |       --- |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Planar Chaos                                                 |     1 |  0.11% |         1-2-0 | 33.33% |           1 |           0 |      0-0-0 |       --- |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Game of Chaos                                                |     1 |  0.11% |         1-2-0 | 33.33% |           1 |           0 |      0-0-0 |       --- |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Mages' Contest                                               |     1 |  0.11% |         1-2-0 | 33.33% |           0 |           1 |      0-0-0 |       --- |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Mox Amber                                                    |     1 |  0.11% |         0-5-1 |  8.33% |           2 |           0 |      0-2-0 |     0.00% |        0-0-0 |          --- |            0-0-0 |             --- |
| Basim Ibn Ishaq                                              |     1 |  0.11% |         0-5-1 |  8.33% |           2 |           0 |      0-2-0 |     0.00% |        0-0-0 |          --- |            0-0-0 |             --- |
| Crystal Skull, Isu Spyglass                                  |     1 |  0.11% |         0-5-1 |  8.33% |           1 |           1 |      0-2-0 |     0.00% |        0-0-0 |          --- |            0-0-0 |             --- |
| Telim'Tor's Edict                                            |     1 |  0.11% |         0-4-0 |  0.00% |           4 |           0 |      0-2-0 |     0.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Thieves' Guild Enforcer                                      |     1 |  0.11% |         0-4-0 |  0.00% |           4 |           0 |      0-1-0 |     0.00% |        0-1-0 |        0.00% |            0-0-0 |             --- |
| Blood Sun                                                    |     1 |  0.11% |         0-4-0 |  0.00% |           4 |           0 |      0-2-0 |     0.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Fling                                                        |     1 |  0.11% |         0-4-0 |  0.00% |           4 |           0 |      0-0-0 |       --- |        0-0-0 |          --- |            0-0-0 |             --- |
| Soaring Thought-Thief                                        |     1 |  0.11% |         0-4-0 |  0.00% |           3 |           0 |      0-1-0 |     0.00% |        0-1-0 |        0.00% |            0-0-0 |             --- |
| Terror of the Peaks                                          |     1 |  0.11% |         0-4-0 |  0.00% |           2 |           0 |      0-2-0 |     0.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Kazuul's Fury // Kazuul's Cliffs                             |     1 |  0.11% |         0-4-0 |  0.00% |           2 |           0 |      0-2-0 |     0.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Chaos Warp                                                   |     1 |  0.11% |         0-4-0 |  0.00% |           1 |           0 |      0-2-0 |     0.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Cunning Nightbonder                                          |     1 |  0.11% |         0-4-0 |  0.00% |           1 |           0 |      0-1-0 |     0.00% |        0-1-0 |        0.00% |            0-0-0 |             --- |
| Tourach, Dread Cantor                                        |     1 |  0.11% |         0-4-0 |  0.00% |           0 |           2 |      0-0-0 |       --- |        0-0-0 |          --- |            0-1-0 |           0.00% |
| Claws of Gix                                                 |     1 |  0.11% |         0-4-0 |  0.00% |           0 |           1 |      0-2-0 |     0.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |
