Card Statistics over 944 Decks (2025 North America Legacy Championship (2025-10-12))
+--------------------------------------------------------------+-------+--------+-------------+-------------+-------------+--------+-------------+---------+------------+-----------+------------+-----------+--------------+--------------+------------------+-----------------+------------+------------+---------------+---------------+------------+------------+-------------+-------------+
|                             Card                             | # of  |  % of  | # of Copies | # of Copies | Record With | Win %  |   Record    |  Win %  | Record vs. | Win % vs. |   Record   | Win % vs. |  Record vs.  |  Win % vs.   | Record vs. Nadu, | Win % vs. Nadu, | # of Decks | % of Decks |  # of Copies  |  # of Copies  |    # of    |    % of    | # of Copies | # of Copies |
|                                                              | Decks | Decks  |   (Main)    |   (Side)    |             |  With  |   Without   | Without |  Without   |  Without  | vs. Entomb |  Entomb   | Mystic Forge | Mystic Forge |  Winged Wisdom   |  Winged Wisdom  |   (T217)   |   (T217)   | (Main) (T217) | (Side) (T217) | Decks (T8) | Decks (T8) | (Main) (T8) | (Side) (T8) |
+--------------------------------------------------------------+-------+--------+-------------+-------------+-------------+--------+-------------+---------+------------+-----------+------------+-----------+--------------+--------------+------------------+-----------------+------------+------------+---------------+---------------+------------+------------+-------------+-------------+
| Takenuma, Abandoned Mire                                     |     1 |  0.11% |           1 |           0 |       3-4-0 | 42.86% | 3948-3947-0 |  50.01% |      3-4-0 |    42.86% |      0-0-0 |       --- |        0-1-0 |        0.00% |            0-1-0 |           0.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Spider-Sense                                                 |     1 |  0.11% |           1 |           0 |       3-4-0 | 42.86% | 3948-3947-0 |  50.01% |      3-4-0 |    42.86% |      0-1-0 |     0.00% |        1-0-0 |      100.00% |            0-0-0 |             --- |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Tifa Lockhart                                                |     1 |  0.11% |           1 |           0 |       3-4-0 | 42.86% | 3948-3947-0 |  50.01% |      3-4-0 |    42.86% |      1-0-0 |   100.00% |        0-1-0 |        0.00% |            0-1-0 |           0.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Minamo, School at Water's Edge                               |     1 |  0.11% |           1 |           0 |       3-4-0 | 42.86% | 3948-3947-0 |  50.01% |      3-4-0 |    42.86% |      0-1-0 |     0.00% |        1-0-0 |      100.00% |            0-0-0 |             --- |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Mirri's Guile                                                |     1 |  0.11% |           1 |           0 |       2-7-0 | 22.22% | 3949-3944-0 |  50.03% |      2-7-0 |    22.22% |      0-1-0 |     0.00% |        0-1-0 |        0.00% |            0-0-0 |             --- |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Raven's Crime                                                |     1 |  0.11% |           1 |           0 |       2-7-0 | 22.22% | 3949-3944-0 |  50.03% |      2-7-0 |    22.22% |      0-1-0 |     0.00% |        0-1-0 |        0.00% |            0-0-0 |             --- |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Geier Reach Sanitarium                                       |     1 |  0.11% |           1 |           0 |       2-7-0 | 22.22% | 3949-3944-0 |  50.03% |      2-7-0 |    22.22% |      0-1-0 |     0.00% |        0-1-0 |        0.00% |            0-0-0 |             --- |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Thwart                                                       |     1 |  0.11% |           1 |           0 |       2-6-0 | 25.00% | 3949-3945-0 |  50.03% |      2-6-0 |    25.00% |      1-1-0 |    50.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Phyrexian Tower                                              |     1 |  0.11% |           1 |           0 |       2-6-0 | 25.00% | 3949-3945-0 |  50.03% |      2-6-0 |    25.00% |      1-0-0 |   100.00% |        0-0-0 |          --- |            0-0-0 |             --- |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Death Wish                                                   |     1 |  0.11% |           1 |           0 |       2-6-0 | 25.00% | 3949-3945-0 |  50.03% |      2-6-0 |    25.00% |      0-2-0 |     0.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Legion Extruder                                              |     1 |  0.11% |           1 |           0 |       2-5-0 | 28.57% | 3949-3946-0 |  50.02% |      2-5-0 |    28.57% |      0-0-0 |       --- |        1-0-0 |      100.00% |            0-0-0 |             --- |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Triskelion                                                   |     1 |  0.11% |           1 |           0 |       2-5-0 | 28.57% | 3949-3946-0 |  50.02% |      2-5-0 |    28.57% |      0-0-0 |       --- |        1-0-0 |      100.00% |            0-0-0 |             --- |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Hapatra, Vizier of Poisons                                   |     1 |  0.11% |           1 |           0 |       2-4-0 | 33.33% | 3949-3947-0 |  50.01% |      2-4-0 |    33.33% |      0-1-0 |     0.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Breya's Apprentice                                           |     1 |  0.11% |           1 |           0 |       2-4-0 | 33.33% | 3949-3947-0 |  50.01% |      2-4-0 |    33.33% |      1-0-0 |   100.00% |        0-0-0 |          --- |            1-2-0 |          33.33% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Prosperous Innkeeper                                         |     1 |  0.11% |           1 |           0 |       2-4-0 | 33.33% | 3949-3947-0 |  50.01% |      2-4-0 |    33.33% |      0-1-0 |     0.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Terastodon                                                   |     1 |  0.11% |           1 |           0 |       2-4-0 | 33.33% | 3949-3947-0 |  50.01% |      2-4-0 |    33.33% |      0-0-0 |       --- |        0-0-0 |          --- |            0-1-0 |           0.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Goblin Chieftain                                             |     1 |  0.11% |           1 |           0 |       2-4-0 | 33.33% | 3949-3947-0 |  50.01% |      2-4-0 |    33.33% |      0-1-0 |     0.00% |        1-0-0 |      100.00% |            0-2-0 |           0.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Oblivion Stone                                               |     1 |  0.11% |           1 |           0 |       2-4-0 | 33.33% | 3949-3947-0 |  50.01% |      2-4-0 |    33.33% |      0-2-0 |     0.00% |        0-0-0 |          --- |            1-0-0 |         100.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Cecil, Dark Knight // Cecil, Redeemed Paladin                |     1 |  0.11% |           1 |           0 |       2-4-0 | 33.33% | 3949-3947-0 |  50.01% |      2-4-0 |    33.33% |      1-1-0 |    50.00% |        0-0-0 |          --- |            0-2-0 |           0.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Castle Locthwain                                             |     1 |  0.11% |           1 |           0 |       2-4-0 | 33.33% | 3949-3947-0 |  50.01% |      2-4-0 |    33.33% |      1-1-0 |    50.00% |        0-0-0 |          --- |            0-2-0 |           0.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Academy Ruins                                                |     1 |  0.11% |           1 |           0 |       2-4-0 | 33.33% | 3949-3947-0 |  50.01% |      2-4-0 |    33.33% |      0-2-0 |     0.00% |        0-0-0 |          --- |            1-0-0 |         100.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Temple Garden                                                |     1 |  0.11% |           1 |           0 |       2-4-0 | 33.33% | 3949-3947-0 |  50.01% |      2-4-0 |    33.33% |      0-0-0 |       --- |        0-1-0 |        0.00% |            0-0-0 |             --- |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Krenko, Mob Boss                                             |     1 |  0.11% |           1 |           0 |       2-4-0 | 33.33% | 3949-3947-0 |  50.01% |      2-4-0 |    33.33% |      0-0-0 |       --- |        0-0-0 |          --- |            0-1-0 |           0.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Ill-Gotten Gains                                             |     1 |  0.11% |           1 |           0 |       2-3-0 | 40.00% | 3949-3948-0 |  50.01% |      2-3-0 |    40.00% |      0-0-0 |       --- |        0-1-0 |        0.00% |            0-0-0 |             --- |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Arbiter of Woe                                               |     1 |  0.11% |           1 |           0 |      10-5-0 | 66.67% | 3941-3946-0 |  49.97% |     10-5-0 |    66.67% |      4-0-0 |   100.00% |        1-1-0 |       50.00% |            1-0-0 |         100.00% |          1 |      0.47% |             1 |             0 |          0 |        --- |           0 |           0 |
| Glasspool Mimic // Glasspool Shore                           |     1 |  0.11% |           1 |           0 |      10-5-0 | 66.67% | 3941-3946-0 |  49.97% |     10-5-0 |    66.67% |      2-1-0 |    66.67% |        0-1-0 |        0.00% |            2-1-0 |          66.67% |          1 |      0.47% |             1 |             0 |          0 |        --- |           0 |           0 |
| Thunderous Wrath                                             |     1 |  0.11% |           1 |           0 |       1-7-0 | 12.50% | 3950-3944-0 |  50.04% |      1-7-0 |    12.50% |      0-2-0 |     0.00% |        0-0-0 |          --- |            0-1-0 |           0.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Urza's Incubator                                             |     1 |  0.11% |           1 |           0 |       1-5-0 | 16.67% | 3950-3946-0 |  50.03% |      1-5-0 |    16.67% |      1-1-0 |    50.00% |        0-0-0 |          --- |            0-0-0 |             --- |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
