Card Statistics over 1308 Decks (Legacy Challenge 2025-12-03 (2025-12-03), Legacy Last Chance 2025-12-01 (2025-12-01), 2025 EU Legacy Championship (2025-11-29), Legacy Last Chance 2025-12-01 (2025-12-01), Legacy Challenge 32 2025-11-30 - 1 (2025-11-30), Legacy Last Chance 2025-12-02 (2025-12-02), Legacy Last Chance 2025-12-03 (2025-12-03), Legacy Challenge 32 2025-11-30 - 2 (2025-11-30))
+------------------------------------------------------------+-------+--------+------------+------------+-------------+--------+-------------+---------+------------+-----------+------------+------------+---------------+---------------+
|                            Card                            | # of  |  % of  | # of Decks | # of Decks | Record With | Win %  |   Record    |  Win %  | Record vs. | Win % vs. | # of Decks | % of Decks |  # of Decks   |  # of Decks   |
|                                                            | Decks | Decks  |   (Main)   |   (Side)   |             |  With  |   Without   | Without |  Without   |  Without  |   (T130)   |   (T130)   | (Main) (T130) | (Side) (T130) |
+------------------------------------------------------------+-------+--------+------------+------------+-------------+--------+-------------+---------+------------+-----------+------------+------------+---------------+---------------+
| Soulherder                                                 |     1 |  0.12% |          1 |          0 |       3-4-0 | 42.86% | 4194-4193-0 |  50.01% |      3-4-0 |    42.86% |          0 |        --- |             0 |             0 |
| Spara's Headquarters                                       |     1 |  0.12% |          1 |          0 |       3-4-0 | 42.86% | 4194-4193-0 |  50.01% |      3-4-0 |    42.86% |          0 |        --- |             0 |             0 |
| Spatial Contortion                                         |     1 |  0.12% |          0 |          1 |       0-3-0 |  0.00% | 4197-4194-0 |  50.02% |      0-3-0 |     0.00% |          0 |        --- |             0 |             0 |
| Spellseeker                                                |     1 |  0.12% |          1 |          0 |       1-3-0 | 25.00% | 4196-4194-0 |  50.01% |      1-3-0 |    25.00% |          0 |        --- |             0 |             0 |
| Spider-Sense                                               |     1 |  0.12% |          0 |          1 |       3-5-0 | 37.50% | 4194-4192-0 |  50.01% |      3-5-0 |    37.50% |          0 |        --- |             0 |             0 |
| Spirit of the Labyrinth                                    |     1 |  0.12% |          1 |          0 |       4-4-0 | 50.00% | 4193-4193-0 |  50.00% |      4-4-0 |    50.00% |          0 |        --- |             0 |             0 |
| Spoils of the Vault                                        |     1 |  0.12% |          1 |          0 |       2-4-0 | 33.33% | 4195-4193-0 |  50.01% |      2-4-0 |    33.33% |          0 |        --- |             0 |             0 |
| Spymaster's Vault                                          |     1 |  0.12% |          1 |          0 |       3-3-0 | 50.00% | 4194-4194-0 |  50.00% |      3-3-0 |    50.00% |          0 |        --- |             0 |             0 |
| Staff of Domination                                        |     1 |  0.12% |          1 |          0 |       0-3-0 |  0.00% | 4197-4194-0 |  50.02% |      0-3-0 |     0.00% |          0 |        --- |             0 |             0 |
| Starting Town                                              |     1 |  0.12% |          1 |          0 |       3-3-0 | 50.00% | 4194-4194-0 |  50.00% |      3-3-0 |    50.00% |          0 |        --- |             0 |             0 |
| Stern Dismissal                                            |     1 |  0.12% |          0 |          1 |       3-5-0 | 37.50% | 4194-4192-0 |  50.01% |      3-5-0 |    37.50% |          0 |        --- |             0 |             0 |
| Stormscale Scion                                           |     1 |  0.12% |          0 |          1 |       1-3-0 | 25.00% | 4196-4194-0 |  50.01% |      1-3-0 |    25.00% |          0 |        --- |             0 |             0 |
| Strategic Betrayal                                         |     1 |  0.12% |          1 |          0 |       1-3-0 | 25.00% | 4196-4194-0 |  50.01% |      1-3-0 |    25.00% |          0 |        --- |             0 |             0 |
| Stronghold Gambit                                          |     1 |  0.12% |          0 |          1 |       3-5-0 | 37.50% | 4194-4192-0 |  50.01% |      3-5-0 |    37.50% |          0 |        --- |             0 |             0 |
| Submerge                                                   |     1 |  0.12% |          0 |          1 |       2-3-0 | 40.00% | 4195-4194-0 |  50.01% |      2-3-0 |    40.00% |          0 |        --- |             0 |             0 |
| Subtlety                                                   |     1 |  0.12% |          1 |          0 |       3-3-0 | 50.00% | 4194-4194-0 |  50.00% |      3-3-0 |    50.00% |          0 |        --- |             0 |             0 |
| Summon: Bahamut                                            |     1 |  0.12% |          0 |          1 |       3-3-0 | 50.00% | 4194-4194-0 |  50.00% |      3-3-0 |    50.00% |          0 |        --- |             0 |             0 |
| Summon: Yojimbo                                            |     1 |  0.12% |          0 |          1 |       4-4-0 | 50.00% | 4193-4193-0 |  50.00% |      4-4-0 |    50.00% |          0 |        --- |             0 |             0 |
| Sundering Titan                                            |     1 |  0.12% |          0 |          1 |       0-3-0 |  0.00% | 4197-4194-0 |  50.02% |      0-3-0 |     0.00% |          0 |        --- |             0 |             0 |
| Suplex                                                     |     1 |  0.12% |          0 |          1 |       9-5-0 | 64.29% | 4188-4192-0 |  49.98% |      9-5-0 |    64.29% |          1 |      0.90% |             0 |             1 |
| Swift Reconfiguration                                      |     1 |  0.12% |          1 |          0 |       3-4-0 | 42.86% | 4194-4193-0 |  50.01% |      3-4-0 |    42.86% |          0 |        --- |             0 |             0 |
| Sword of Fire and Ice                                      |     1 |  0.12% |          0 |          1 |       9-3-0 | 75.00% | 4188-4194-0 |  49.96% |      9-3-0 |    75.00% |          1 |      0.90% |             0 |             1 |
| Sylvan Scrying                                             |     1 |  0.12% |          1 |          0 |       1-5-0 | 16.67% | 4196-4192-0 |  50.02% |      1-5-0 |    16.67% |          0 |        --- |             0 |             0 |
| Takenuma, Abandoned Mire                                   |     1 |  0.12% |          1 |          0 |       1-3-0 | 25.00% | 4196-4194-0 |  50.01% |      1-3-0 |    25.00% |          0 |        --- |             0 |             0 |
| Talisman of Creativity                                     |     1 |  0.12% |          1 |          0 |       2-3-0 | 40.00% | 4195-4194-0 |  50.01% |      2-3-0 |    40.00% |          0 |        --- |             0 |             0 |
| Talisman of Indulgence                                     |     1 |  0.12% |          1 |          0 |       0-3-0 |  0.00% | 4197-4194-0 |  50.02% |      0-3-0 |     0.00% |          0 |        --- |             0 |             0 |
| Tasha's Hideous Laughter                                   |     1 |  0.12% |          0 |          1 |       1-3-0 | 25.00% | 4196-4194-0 |  50.01% |      1-3-0 |    25.00% |          0 |        --- |             0 |             0 |
| Teferi, Master of Time                                     |     1 |  0.12% |          1 |          0 |       4-4-0 | 50.00% | 4193-4193-0 |  50.00% |      4-4-0 |    50.00% |          0 |        --- |             0 |             0 |
| Temporary Lockdown                                         |     1 |  0.12% |          1 |          0 |       4-3-0 | 57.14% | 4193-4194-0 |  49.99% |      4-3-0 |    57.14% |          0 |        --- |             0 |             0 |
| Test of Talents                                            |     1 |  0.12% |          1 |          1 |       1-3-0 | 25.00% | 4196-4194-0 |  50.01% |      1-3-0 |    25.00% |          0 |        --- |             0 |             0 |
| Thalia's Lieutenant                                        |     1 |  0.12% |          1 |          0 |       4-4-0 | 50.00% | 4193-4193-0 |  50.00% |      4-4-0 |    50.00% |          0 |        --- |             0 |             0 |
| The Creation of Avacyn                                     |     1 |  0.12% |          0 |          1 |       5-3-0 | 62.50% | 4192-4194-0 |  49.99% |      5-3-0 |    62.50% |          0 |        --- |             0 |             0 |
| The Reality Chip                                           |     1 |  0.12% |          1 |          0 |       1-3-0 | 25.00% | 4196-4194-0 |  50.01% |      1-3-0 |    25.00% |          0 |        --- |             0 |             0 |
| Thief of Existence                                         |     1 |  0.12% |          0 |          1 |       5-3-0 | 62.50% | 4192-4194-0 |  49.99% |      5-3-0 |    62.50% |          0 |        --- |             0 |             0 |
| Thirst for Knowledge                                       |     1 |  0.12% |          1 |          0 |       5-3-0 | 62.50% | 4192-4194-0 |  49.99% |      5-3-0 |    62.50% |          0 |        --- |             0 |             0 |
| Thought Distortion                                         |     1 |  0.12% |          0 |          1 |       0-7-0 |  0.00% | 4197-4190-0 |  50.04% |      0-7-0 |     0.00% |          0 |        --- |             0 |             0 |
| Thraben Charm                                              |     1 |  0.12% |          1 |          0 |       0-4-0 |  0.00% | 4197-4193-0 |  50.02% |      0-4-0 |     0.00% |          0 |        --- |             0 |             0 |
| Throes of Chaos                                            |     1 |  0.12% |          1 |          0 |       4-4-0 | 50.00% | 4193-4193-0 |  50.00% |      4-4-0 |    50.00% |          0 |        --- |             0 |             0 |
| Through the Breach                                         |     1 |  0.12% |          0 |          1 |       2-4-0 | 33.33% | 4195-4193-0 |  50.01% |      2-4-0 |    33.33% |          0 |        --- |             0 |             0 |
| Thunderous Wrath                                           |     1 |  0.12% |          1 |          0 |       3-5-0 | 37.50% | 4194-4192-0 |  50.01% |      3-5-0 |    37.50% |          0 |        --- |             0 |             0 |
| Thwart                                                     |     1 |  0.12% |          1 |          0 |       4-4-0 | 50.00% | 4193-4193-0 |  50.00% |      4-4-0 |    50.00% |          0 |        --- |             0 |             0 |
| Tibalt's Trickery                                          |     1 |  0.12% |          1 |          0 |       4-4-0 | 50.00% | 4193-4193-0 |  50.00% |      4-4-0 |    50.00% |          0 |        --- |             0 |             0 |
| Tide Shaper                                                |     1 |  0.12% |          1 |          0 |       0-4-0 |  0.00% | 4197-4193-0 |  50.02% |      0-4-0 |     0.00% |          0 |        --- |             0 |             0 |
| Time of Need                                               |     1 |  0.12% |          0 |          1 |      11-3-0 | 78.57% | 4186-4194-0 |  49.95% |     11-3-0 |    78.57% |          1 |      0.90% |             0 |             1 |
| Tinder Farm                                                |     1 |  0.12% |          1 |          0 |       4-4-0 | 50.00% | 4193-4193-0 |  50.00% |      4-4-0 |    50.00% |          0 |        --- |             0 |             0 |
| Tourach, Dread Cantor                                      |     1 |  0.12% |          1 |          0 |       4-4-0 | 50.00% | 4193-4193-0 |  50.00% |      4-4-0 |    50.00% |          0 |        --- |             0 |             0 |
